time,x,y,theta,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22,flag_sensor
1.749306853745542765e+09,-4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.749306861711296797e+09,-4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.749306861737068176e+09,-4.000000000000000000e+00,4.000000000000000000e+00,5.077202002379266332e-05,1.000000999999999918e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000999999999918e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.001218469679146850e+00,0.000000000000000000e+00
1.749306861808886766e+09,-4.000000000000000000e+00,4.000000000000000000e+00,7.341551819362024389e-06,1.000001999999999835e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000001999999999835e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.002436939358293699e+00,0.000000000000000000e+00
1.749306861860728979e+09,-3.879497066512254122e+00,4.297202795351700466e+00,1.035183681470566164e-01,9.901990295068753556e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.901990295068753556e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.435460097238948199e-03,0.000000000000000000e+00
1.749306861861448050e+09,-3.879497066512254122e+00,4.297202795351700466e+00,1.035183681470566164e-01,9.901990295068753556e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.901990295068753556e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.435460097238948199e-03,1.000000000000000000e+00
1.749306861898609877e+09,-3.879497066512254122e+00,4.297202795351700466e+00,1.035033815784198730e-01,9.902990295068752821e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.902990295068752821e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.653929776385782258e-03,0.000000000000000000e+00
1.749306861925513983e+09,-3.879497066512254122e+00,4.297202795351700466e+00,1.035355658713954519e-01,9.903990295068752087e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.903990295068752087e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.872399455532616316e-03,0.000000000000000000e+00
1.749306861986854076e+09,-3.879497066512254122e+00,4.297202795351700466e+00,1.035116835174432204e-01,9.904990295068751352e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.904990295068751352e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.090869134679450375e-03,0.000000000000000000e+00
1.749306862042059660e+09,-3.876494398881060732e+00,4.302715262921283923e+00,1.041706044908599083e-01,4.976134199634655274e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.976134199634655274e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.015350300388279071e-03,1.000000000000000000e+00
1.749306862051174164e+09,-3.876494398881060732e+00,4.302715262921283923e+00,1.041911129921961887e-01,4.977134199634655407e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.977134199634655407e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.233819979535113347e-03,0.000000000000000000e+00
1.749306862113285303e+09,-3.876494398881060732e+00,4.302715262921283923e+00,1.041777187365289237e-01,4.978134199634655539e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.978134199634655539e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.452289658681947405e-03,0.000000000000000000e+00
1.749306862142470837e+09,-3.876494398881060732e+00,4.302715262921283923e+00,1.041558202316159587e-01,4.979134199634655672e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.979134199634655672e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.670759337828781464e-03,0.000000000000000000e+00
1.749306862203670979e+09,-3.876494398881060732e+00,4.302715262921283923e+00,1.041625679371271929e-01,4.980134199634655805e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.980134199634655805e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.889229016975615523e-03,0.000000000000000000e+00
1.749306862242667913e+09,-3.874838672504750114e+00,4.307539419115951951e+00,1.044255114913026361e-01,3.324492379885431344e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.324492379885431344e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.009587954910247821e-03,1.000000000000000000e+00
1.749306862259400129e+09,-3.874838672504750114e+00,4.307539419115951951e+00,1.044293149601585036e-01,3.325492379885431476e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.325492379885431476e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.228057634057082313e-03,0.000000000000000000e+00
1.749306862321664810e+09,-3.874838672504750114e+00,4.307539419115951951e+00,1.044221376385525701e-01,3.326492379885431609e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.326492379885431609e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.446527313203916372e-03,0.000000000000000000e+00
1.749306862349311590e+09,-3.874813367291407573e+00,4.307541953836515169e+00,1.045138635885933809e-01,3.327492379907575053e-03,-2.210659300830068215e-13,-8.735983652427836499e-09,-2.210659300830068467e-13,3.327492382092428480e-03,8.721510895206017398e-08,-8.735983652427836499e-09,8.721510895206017398e-08,4.664996992350750431e-03,0.000000000000000000e+00
1.749306862413211823e+09,-3.874838672504750114e+00,4.307539419115951951e+00,1.044617646389660592e-01,3.328492379893260248e-03,-7.815464913525858561e-14,3.088480151376042365e-09,-7.815464913525861085e-14,3.328492380665683606e-03,-3.083363518241920206e-08,3.088480151376042365e-09,-3.083363518241920206e-08,5.883466671497584490e-03,0.000000000000000000e+00
1.749306862450974464e+09,-3.870283531985494463e+00,4.316415952744249829e+00,9.778052640233036996e-02,2.497275974673219927e-03,-3.644595071424901663e-14,3.975591353239263511e-10,-3.644595071424903556e-14,2.497275975033424848e-03,-3.969005057893755429e-09,3.975591353239267647e-10,-3.969005057893753775e-09,1.009418473149960825e-03,1.000000000000000000e+00
1.749306862460186720e+09,-3.870283531985494463e+00,4.316415952744249829e+00,9.775188019231562109e-02,2.498275974673220060e-03,-3.644595071424901663e-14,3.975591353239263511e-10,-3.644595071424903556e-14,2.498275975033424981e-03,-3.969005057893755429e-09,3.975591353239267647e-10,-3.969005057893753775e-09,2.227888152296794884e-03,0.000000000000000000e+00
1.749306862522221804e+09,-3.870283531985494463e+00,4.316415952744249829e+00,9.774946672644535539e-02,2.499275974673220192e-03,-3.644595071424901663e-14,3.975591353239263511e-10,-3.644595071424903556e-14,2.499275975033425114e-03,-3.969005057893755429e-09,3.975591353239267647e-10,-3.969005057893753775e-09,3.446357831443628943e-03,0.000000000000000000e+00
1.749306862583857298e+09,-3.870283531985494463e+00,4.316415952744249829e+00,9.772852860840197664e-02,2.500275974673220325e-03,-3.644595071424901663e-14,3.975591353239263511e-10,-3.644595071424903556e-14,2.500275975033425246e-03,-3.969005057893755429e-09,3.975591353239267647e-10,-3.969005057893753775e-09,4.664827510590463001e-03,0.000000000000000000e+00
1.749306862646528244e+09,-3.868658169376593126e+00,4.316602620509971899e+00,1.001707466925716439e-01,2.000176619891434401e-03,-2.315273660069422977e-14,6.586824248864894082e-11,-2.315273660069424239e-14,2.000176620120259173e-03,-6.575911967888974463e-10,6.586824248864901836e-11,-6.575911967888973429e-10,9.661165664075466696e-04,1.000000000000000000e+00
1.749306862646763802e+09,-3.868658169376593126e+00,4.316602620509971899e+00,1.001831174860861040e-01,2.001176619891434534e-03,-2.315273660069422977e-14,6.586824248864894082e-11,-2.315273660069424239e-14,2.001176620120259306e-03,-6.575911967888974463e-10,6.586824248864901836e-11,-6.575911967888973429e-10,2.184586245554381162e-03,0.000000000000000000e+00
1.749306862671882868e+09,-3.868658169376593126e+00,4.316602620509971899e+00,1.002389187479053589e-01,2.002176619891434667e-03,-2.315273660069422977e-14,6.586824248864894082e-11,-2.315273660069424239e-14,2.002176620120259438e-03,-6.575911967888974463e-10,6.586824248864901836e-11,-6.575911967888973429e-10,3.403055924701215221e-03,0.000000000000000000e+00
1.749306862731520414e+09,-3.868658169376593126e+00,4.316602620509971899e+00,1.002047506054841719e-01,2.003176619891434800e-03,-2.315273660069422977e-14,6.586824248864894082e-11,-2.315273660069424239e-14,2.003176620120259571e-03,-6.575911967888974463e-10,6.586824248864901836e-11,-6.575911967888973429e-10,4.621525603848049280e-03,0.000000000000000000e+00
1.749306862765265942e+09,-3.868658169376593126e+00,4.316602620509971899e+00,1.001606251341256026e-01,2.004176619891434932e-03,-2.315273660069422977e-14,6.586824248864894082e-11,-2.315273660069424239e-14,2.004176620120259704e-03,-6.575911967888974463e-10,6.586824248864901836e-11,-6.575911967888973429e-10,5.839995282994883338e-03,0.000000000000000000e+00
1.749306862828652620e+09,-3.868658169376593126e+00,4.316602620509971899e+00,1.001738551602282534e-01,2.005176619891435065e-03,-2.315273660069422977e-14,6.586824248864894082e-11,-2.315273660069424239e-14,2.005176620120259837e-03,-6.575911967888974463e-10,6.586824248864901836e-11,-6.575911967888973429e-10,7.058464962141717397e-03,0.000000000000000000e+00
1.749306862842089653e+09,-3.868641525699676453e+00,4.318447065934537754e+00,1.038314788104863773e-01,1.670259991484879985e-03,-1.606079541819164861e-14,8.077049093053793302e-12,-1.606079541819165808e-14,1.670259991643613037e-03,-8.063667981636564721e-11,8.077049093053799764e-12,-8.063667981636568599e-11,1.039095499774425483e-03,1.000000000000000000e+00
1.749306862862430096e+09,-3.868641525699676453e+00,4.318447065934537754e+00,1.038357118956168001e-01,1.671259991484879900e-03,-1.606079541819164861e-14,8.077049093053793302e-12,-1.606079541819165808e-14,1.671259991643612953e-03,-8.063667981636564721e-11,8.077049093053799764e-12,-8.063667981636568599e-11,2.257565178921259758e-03,0.000000000000000000e+00
1.749306862922516108e+09,-3.868666832382420040e+00,4.318444545926764633e+00,1.038243014887001436e-01,1.672259991499256988e-03,-1.604401919906016366e-13,5.697158848285859927e-09,-1.604401919906016619e-13,1.672259993093502557e-03,-5.721212243538328831e-08,5.697158848285859927e-09,-5.721212243538328831e-08,3.476034858068094251e-03,0.000000000000000000e+00
1.749306862985249281e+09,-3.868641525699676453e+00,4.318447065934537754e+00,1.038567511678554212e-01,1.673259991492617683e-03,-9.376630762415364275e-14,-3.062476013660597396e-09,-9.376630762415366800e-14,1.673259992423955156e-03,3.075478892283710045e-08,-3.062476013660597396e-09,3.075478892283710045e-08,4.694504537214928309e-03,0.000000000000000000e+00
1.749306863047830343e+09,-3.865424545847618631e+00,4.318994902249731815e+00,1.031051226879622362e-01,1.433412767907780777e-03,-5.712225461763322955e-14,-5.406164777434629473e-10,-5.712225461763324217e-14,1.433412768475028848e-03,5.429118656617796398e-09,-5.406164777434630507e-10,5.429118656617797225e-09,9.673831185268812801e-04,1.000000000000000000e+00
1.749306863048053026e+09,-3.865424545847618631e+00,4.318994902249731815e+00,1.030709545436589991e-01,1.434412767907780693e-03,-5.712225461763322955e-14,-5.406164777434629473e-10,-5.712225461763324217e-14,1.434412768475028764e-03,5.429118656617796398e-09,-5.406164777434630507e-10,5.429118656617797225e-09,2.185852797673715556e-03,0.000000000000000000e+00
1.749306863073569536e+09,-3.865424545847618631e+00,4.318994902249731815e+00,1.030395283286837937e-01,1.435412767907780609e-03,-5.712225461763322955e-14,-5.406164777434629473e-10,-5.712225461763324217e-14,1.435412768475028680e-03,5.429118656617796398e-09,-5.406164777434630507e-10,5.429118656617797225e-09,3.404322476820549614e-03,0.000000000000000000e+00
1.749306863137154579e+09,-3.865449854417323028e+00,4.318992401263892056e+00,1.030452525696494703e-01,1.436412767926370255e-03,-2.453431461704906577e-13,7.973545830182599572e-09,-2.453431461704907082e-13,1.436412770380771304e-03,-8.072941404429685927e-08,7.973545830182599572e-09,-8.072941404429685927e-08,4.622792155967383673e-03,0.000000000000000000e+00
1.749306863185312986e+09,-3.865424545847618631e+00,4.318994902249731815e+00,1.031298642744173932e-01,1.437412767915401948e-03,-1.342469676861183286e-13,-3.587991891259449150e-09,-1.342469676861183791e-13,1.437412769255487109e-03,3.626684346401985144e-08,-3.587991891259449150e-09,3.626684346401985144e-08,5.841261835114217732e-03,0.000000000000000000e+00
1.749306863242147923e+09,-3.865645160317966678e+00,4.318704372619963650e+00,1.035092451605885699e-01,1.256763917750773315e-03,-8.853378080189348405e-14,-5.414398287887377272e-10,-8.853378080189352192e-14,1.256763918634162813e-03,5.472786480846896167e-09,-5.414398287887377272e-10,5.472786480846896994e-09,1.008168712881261876e-03,1.000000000000000000e+00
1.749306863248743534e+09,-3.865645160317966678e+00,4.318704372619963650e+00,1.034547327464272470e-01,1.257763917750773230e-03,-8.853378080189348405e-14,-5.414398287887377272e-10,-8.853378080189352192e-14,1.257763918634162729e-03,5.472786480846896167e-09,-5.414398287887377272e-10,5.472786480846896994e-09,2.226638392028096151e-03,0.000000000000000000e+00
1.749306863310511827e+09,-3.865645160317966678e+00,4.318704372619963650e+00,1.034735227835774651e-01,1.258763917750773146e-03,-8.853378080189348405e-14,-5.414398287887377272e-10,-8.853378080189352192e-14,1.258763918634162645e-03,5.472786480846896167e-09,-5.414398287887377272e-10,5.472786480846896994e-09,3.445108071174930210e-03,0.000000000000000000e+00
1.749306863370833874e+09,-3.865645160317966678e+00,4.318704372619963650e+00,1.034288665415914465e-01,1.259763917750773062e-03,-8.853378080189348405e-14,-5.414398287887377272e-10,-8.853378080189352192e-14,1.259763918634162561e-03,5.472786480846896167e-09,-5.414398287887377272e-10,5.472786480846896994e-09,4.663577750321764269e-03,0.000000000000000000e+00
1.749306863396951437e+09,-3.865645160317966678e+00,4.318704372619963650e+00,1.034141453598498295e-01,1.260763917750772978e-03,-8.853378080189348405e-14,-5.414398287887377272e-10,-8.853378080189352192e-14,1.260763918634162477e-03,5.472786480846896167e-09,-5.414398287887377272e-10,5.472786480846896994e-09,5.882047429468598328e-03,0.000000000000000000e+00
1.749306863449760914e+09,-3.864522553974882868e+00,4.319287121679526997e+00,1.048982646285514519e-01,1.119607805437911573e-03,-6.948984459712006318e-14,-8.251009637855976158e-11,-6.948984459712010104e-14,1.119607806131270788e-03,8.339987492317614130e-10,-8.251009637855985205e-11,8.339987492317621368e-10,1.009376688271658613e-03,1.000000000000000000e+00
1.749306863457831860e+09,-3.864522553974882868e+00,4.319287121679526997e+00,1.048961165459045830e-01,1.120607805437911489e-03,-6.948984459712006318e-14,-8.251009637855976158e-11,-6.948984459712010104e-14,1.120607806131270704e-03,8.339987492317614130e-10,-8.251009637855985205e-11,8.339987492317621368e-10,2.227846367418492672e-03,0.000000000000000000e+00
1.749306863511333466e+09,-3.864522553974882868e+00,4.319287121679526997e+00,1.048834803674458804e-01,1.121607805437911404e-03,-6.948984459712006318e-14,-8.251009637855976158e-11,-6.948984459712010104e-14,1.121607806131270620e-03,8.339987492317614130e-10,-8.251009637855985205e-11,8.339987492317621368e-10,3.446316046565326731e-03,0.000000000000000000e+00
1.749306863571396828e+09,-3.864522553974882868e+00,4.319287121679526997e+00,1.048805361311773154e-01,1.122607805437911320e-03,-6.948984459712006318e-14,-8.251009637855976158e-11,-6.948984459712010104e-14,1.122607806131270536e-03,8.339987492317614130e-10,-8.251009637855985205e-11,8.339987492317621368e-10,4.664785725712160790e-03,0.000000000000000000e+00
